gbifID	type	format	identifier	references	title	description	created	creator	contributor	publisher	audience	source	license	rightsHolder
912524126	StillImage	image/jpeg	http://www.kew.org/herbcatimg/296093.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912524160	StillImage	image/jpeg	http://www.kew.org/herbcatimg/296097.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912524144	StillImage	image/jpeg	http://www.kew.org/herbcatimg/296115.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912524207	StillImage	image/jpeg	http://www.kew.org/herbcatimg/296117.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912524158	StillImage	image/jpeg	http://www.kew.org/herbcatimg/296116.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912524227	StillImage	image/jpeg	http://www.kew.org/herbcatimg/298558.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912524235	StillImage	image/jpeg	http://www.kew.org/herbcatimg/298557.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912524265	StillImage	image/jpeg	http://www.kew.org/herbcatimg/298556.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912524669	StillImage	image/jpeg	http://www.kew.org/herbcatimg/301094.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912524655	StillImage	image/jpeg	http://www.kew.org/herbcatimg/301092.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912524673	StillImage	image/jpeg	http://www.kew.org/herbcatimg/301093.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912524633	StillImage	image/jpeg	http://www.kew.org/herbcatimg/301091.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912524617	StillImage	image/jpeg	http://www.kew.org/herbcatimg/301079.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912528358	StillImage	image/jpeg	http://www.kew.org/herbcatimg/627578.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912528340	StillImage	image/jpeg	http://www.kew.org/herbcatimg/627580.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912528325	StillImage	image/jpeg	http://www.kew.org/herbcatimg/627579.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912528324	StillImage	image/jpeg	http://www.kew.org/herbcatimg/627581.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912528381	StillImage	image/jpeg	http://www.kew.org/herbcatimg/620877.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
